Protein accession number	Protein Name	location		
YDR292C	SRP101  Signal recognition particle (SRP) receptor - alpha subunit; contain GTPase domains; involved in SRP-dependent protein targeting; interacts with SRP102p	ER		
YPL019C	VTC3 (PHM2) Vacuolar membrane protein involved in vacuolar polyphosphate accumulation; functions as a regulator of vacuolar H+-ATPase activity and vacuolar transporter chaperones; involved in non-autophagic vacuolar fusion	ER		
YLR292C	"SEC72 (SIM2,SEC67) Non-essential subunit of Sec63 complex (Sec63p, Sec62p, Sec66p and Sec72p); with Sec61 complex, Kar2p/BiP and Lhs1p forms a channel competent for SRP-dependent and post-translational SRP-independent protein targeting and import into the ER"	ER		
YNL219C	"ALG9  Mannosyltransferase, involved in N-linked glycosylation; catalyzes the transfer of mannose from Dol-P-Man to lipid-linked oligosaccharides; mutation of the human ortholog causes type 1 congenital disorders of glycosylation"	ER		
YBR172C	SMY2  Protein of unknown function that interacts with Myo2p; has similarity to S. pombe Mpd2	ER		
YPL207W	  Hypothetical protein	ER		
YGL055W	"OLE1 (MDM2) Fatty acid desaturase, required for monounsaturated fatty acid synthesis and for normal distribution of mitochondria"	ER		
YML055W	"SPC2 (SPY1) Subunit of signal peptidase complex (Spc1p, Spc2p, Spc3p, Sec11p), which catalyzes cleavage of N-terminal signal sequences of proteins targeted to the secretory pathway; homologous to mammalian SPC25"	ER		
YNL280C	"ERG24  C-14 sterol reductase, acts in ergosterol biosynthesis; mutants accumulate the abnormal sterol ignosterol (ergosta-8,14 dienol), and are viable under anaerobic growth conditions but inviable on rich medium under aerobic conditions"	ER		
YPR063C	  Hypothetical protein	ER		
YNR021W	  Hypothetical protein	ER		
YDR476C	  Hypothetical protein	ER		
YBR096W	  Hypothetical protein	ER		
YGL231C	  Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum	ER		
YMR264W	CUE1  Endoplasmic reticulum membrane protein that recruits the ubiquitin-conjugating enzyme Ubc7p to the ER where it functions in protein degradation; contains a CUE domain that binds ubiquitin to facilitate intramolecular monoubiquitination	ER		
YFR041C	"ERJ5  Endoplasmic reticulum protein that may function as a cochaperone, as suggested by the presence of a DnaJ-like domain"	ER		
YER083C	"GET2 (RMD7,HUR2) Subunit of the GET complex; required for meiotic nuclear division and for the retrieval of HDEL proteins from the Golgi to the ER in an ERD2 dependent fashion; may be involved in cell wall function"	ER		
YMR161W	"HLJ1  Co-chaperone for Hsp40p, anchored in the ER membrane; with its homolog Hdj1p promotes ER-associated protein degradation (ERAD) of integral membrane substrates; similar to E. coli DnaJ"	ER		
YIL027C	KRE27  Protein of unknown function; null mutant shows K1 killer toxin resistance	ER		
YNR008W	LRO1  Acyltransferase that catalyzes diacylglycerol esterification; one of several acyltransferases that contribute to triglyceride synthesis; putative homolog of human lecithin cholesterol acyltransferase	ER		
YOR085W	"OST3  Gamma subunit of the oligosaccharyltransferase complex of the ER lumen, which catalyzes asparagine-linked glycosylation of newly synthesized proteins; Ost3p is important for N-glycosylation of a subset of proteins"	ER		
YGL226C-A	"OST5  Zeta subunit of the oligosaccharyltransferase complex of the ER lumen, which catalyzes asparagine-linked glycosylation of newly synthesized proteins"	ER		
YJL117W	"PHO86  Endoplasmic reticulum (ER) resident protein required for ER exit of the high-affinity phosphate transporter Pho84p, specifically required for packaging of Pho84p into COPII vesicles"	ER		
YAL023C	"PMT2 (FUN25) Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; acts in a complex with Pmt1p, can instead interact with Pmt5p in some conditions; target for new antifungals"	ER		
YLR378C	"SEC61  Essential subunit of Sec61 complex (Sec61p, Sbh1p, and Sss1p); forms a channel for SRP-dependent protein import and retrograde transport of misfolded proteins out of the ER; with Sec63 complex allows SRP-independent protein import into ER"	ER		
YGL022W	"STT3  Subunit of the oligosaccharyltransferase complex of the ER lumen, which catalyzes asparagine-linked glycosylation of newly synthesized proteins; forms a subcomplex with Ost3p and Ost4p and is directly involved in catalysis"	ER		
YMR149W	"SWP1  Delta subunit of the oligosaccharyl transferase glycoprotein complex, which is required for N-linked glycosylation of proteins in the endoplasmic reticulum"	ER		
YHR113W	"  Cytoplasmic aspartyl aminopeptidase; cleaves unblocked N-terminal acidic amino acid residues from peptide substrates; forms a 12 subunit homo-oligomeric complex; inhibited by EDTA and 1,10-phenanthroline; M18 metalloprotease family member"	ribosomal		
YGR054W	"  Eukaryotic initiation factor (eIF) 2A; associates specifically with both 40S subunits and 80 S ribosomes, and interacts genetically with both eIF5b and eIF4E; homologous to mammalian eIF2A"	ribosomal		
YPL225W	  Hypothetical protein	ribosomal		
YPL009C	  Hypothetical protein	ribosomal		
YHL035C	"  Protein of unknown function, member of the ATP-binding cassette (ABC) family, potential Cdc28p substrate"	ribosomal		
YNL247W	  Protein required for cell viability	ribosomal		
YHR020W	"  Putative protein of unknown function, has similarity to proline-tRNA ligase; YHR020W is an essential gene"	ribosomal		
YIL137C	 (RBF108) Putative metalloprotease	ribosomal		
YKL056C	 (RBF18) Protein of unknown function; putative ribosomal protein; homolog of translationally controlled tumor protein; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YKL056C is not an essential gene	ribosomal		
YER007C-A	 (RBF20) Hypothetical protein	ribosomal		
YJR014W	 (RBF22) Hypothetical protein	ribosomal		
YOR091W	 (RBF46) Hypothetical protein	ribosomal		
YHR013C	"ARD1  Subunit of the N-terminal acetyltransferase NatA (Nat1p, Ard1p, Nat5p); N-terminally acetylates many proteins, which influences multiple processes such as the cell cycle, heat-shock resistance, mating, sporulation, and telomeric silencing"	ribosomal		
YMR116C	ASC1 (CPC2) WD repeat protein (G-beta like protein) involved in translation regulation; required for repression of Gcn4p activity in the absence of amino-acid starvation; core component of the ribosome; ortholog of mammalian RACK1	ribosomal		
YAL003W	"EFB1 (EF-1 beta,TEF5) Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site"	ribosomal		
YDR385W	"EFT2  Elongation factor 2 (EF-2), also encoded by EFT1; catalyzes ribosomal translocation during protein synthesis; contains diphthamide, the unique posttranslationally modified histidine residue specifically ADP-ribosylated by diphtheria toxin"	ribosomal		
YPL037C	"EGD1  Subunit beta1 of the nascent polypeptide-associated complex (NAC) involved in protein targeting, associated with cytoplasmic ribosomes; enhances DNA binding of the Gal4p activator; homolog of human BTF3b"	ribosomal		
YBR101C	"FES1  Hsp70 (Ssa1p) nucleotide exchange factor, cytosolic homolog of Sil1p, which is the nucleotide exchange factor for BiP (Kar2p) in the endoplasmic reticulum"	ribosomal		
YAL035W	"FUN12 (eIF5B,yIF2) GTPase, required for general translation initiation by promoting Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; homolog of bacterial IF2"	ribosomal		
YER025W	"GCD11 (eIF2 gamma,SUI4) Gamma subunit of the translation initiation factor eIF2, involved in the identification of the start codon; binds GTP when forming the ternary complex with GTP and tRNAi-Met"	ribosomal		
YGL195W	"GCN1  Positive regulator of the Gcn2p kinase activity, forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA"	ribosomal		
YFR009W	"GCN20  Positive regulator of the Gcn2p kinase activity, forms a complex with Gcn1p; proposed to stimulate Gcn2p activation by an uncharged tRNA"	ribosomal		
YEL034W	"HYP2 (TIF51A) Translation initiation factor eIF-5A, promotes formation of the first peptide bond; similar to and functionally redundant with Anb1p; undergoes an essential hypusination modification; expressed under aerobic conditions"	ribosomal		
YLR244C	"MAP1  Methionine aminopeptidase, catalyzes the cotranslational removal of N-terminal methionine from nascent polypeptides; function is partially redundant with that of Map2p"	ribosomal		
YKR085C	MRPL20 (YmL20) Mitochondrial ribosomal protein of the large subunit	ribosomal		
YDL040C	"NAT1 (AAA1) Subunit of the N-terminal acetyltransferase NatA (Nat1p, Ard1p, Nat5p); N-terminally acetylates many proteins, which influences multiple processes such as the cell cycle, heat-shock resistance, mating, sporulation, and telomeric silencing"	ribosomal		
YHR170W	NMD3 (SRC5) Protein involved in nuclear export of the large ribosomal subunit; acts as a Crm1p-dependent adapter protein for export of nascent ribosomal subunits through the nuclear pore complex	ribosomal		
YCR077C	"PAT1 (MRT1) Topoisomerase II-associated deadenylation-dependent mRNA-decapping factor; also required for faithful chromosome transmission, maintenance of rDNA locus stability, and protection of mRNA 3'-UTRs from trimming; functionally linked to Pab1p"	ribosomal		
YBR079C	"RPG1 (TIF32) Subunit of the core complex of translation initiation factor 3(eIF3), essential for translation; part of a subcomplex (Prt1p-Rpg1p-Nip1p) that stimulates binding of mRNA and tRNA(i)Met to ribosomes"	ribosomal		
YLR075W	"RPL10 (QSR1,GRC5) Protein component of the large (60S) ribosomal subunit, responsible for joining the 40S and 60S subunits; regulates translation initiation; has similarity to rat L10 ribosomal protein and to members of the QM gene family"	ribosomal		
YGR085C	"RPL11A  Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl11Bp; involved in ribosomal assembly; depletion causes degradation of proteins and RNA of the 60S subunit; has similarity to E. coli L5 and rat L11"	ribosomal		
YDR418W	"RPL12B  Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl12Ap; rpl12a rpl12b double mutant exhibits slow growth and slow translation; has similarity to E. coli L11 and rat L12 ribosomal proteins"	ribosomal		
YDL082W	"RPL13A  Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl13Bp; not essential for viability; has similarity to rat L13 ribosomal protein"	ribosomal		
YHL001W	"RPL14B  Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl14Ap and has similarity to rat L14 ribosomal protein"	ribosomal		
YLR029C	"RPL15A (RPL10A) Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl15Bp and has similarity to rat L15 ribosomal protein; binds to 5.8 S rRNA"	ribosomal		
YMR121C	"RPL15B  Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl15Ap and has similarity to rat L15 ribosomal protein; binds to 5.8 S rRNA"	ribosomal		
YIL133C	"RPL16A (RPL13) N-terminally acetylated protein component of the large (60S) ribosomal subunit, binds to 5.8 S rRNA; has similarity to Rpl16Bp, E. coli L13 and rat L13a ribosomal proteins; transcriptionally regulated by Rap1p"	ribosomal		
YNL069C	"RPL16B (RP23) N-terminally acetylated protein component of the large (60S) ribosomal subunit, binds to 5.8 S rRNA; has similarity to Rpl16Ap, E. coli L13 and rat L13a ribosomal proteins; transcriptionally regulated by Rap1p"	ribosomal		
YKL180W	"RPL17A (RPL17) Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl17Bp and has similarity to E. coli L22 and rat L17 ribosomal proteins; copurifies with the components of the outer kinetochore DASH complex"	ribosomal		
YJL177W	"RPL17B  Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl17Ap and has similarity to E. coli L22 and rat L17 ribosomal proteins"	ribosomal		
YNL301C	"RPL18B (RP28B) Protein component of the large (60S) ribosomal subunit, identical to Rpl18Ap and has similarity to rat L18 ribosomal protein"	ribosomal		
YBL027W	"RPL19B  Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl19Bp and has similarity to rat L19 ribosomal protein; rpl19a and rpl19b single null mutations result in slow growth, while the double null mutation is lethal"	ribosomal		
YGL135W	"RPL1B (SSM2) N-terminally acetylated protein component of the large (60S) ribosomal subunit, nearly identical to Rpl1Bp and has similarity to E. coli L1 and rat L10a ribosomal proteins; rpl1a rpl1b double null mutation is lethal"	ribosomal		
